Company Name,Industry,City,Website,Revenue Estimate (Confidence)
Razorpay,FinTech,Bangalore,https://razorpay.com,$120M (85%)
Paytm,FinTech,Noida,https://paytm.com,$950M (90%)
PhonePe,FinTech,Bangalore,https://phonepe.com,$800M (88%)
PolicyBazaar,FinTech,Gurgaon,https://policybazaar.com,$420M (80%)
CRED,FinTech,Bangalore,https://cred.club,$150M (70%)
Groww,FinTech,Bangalore,https://groww.in,$110M (75%)
Zerodha,FinTech,Bangalore,https://zerodha.com,$500M (92%)
MobiKwik,FinTech,Gurgaon,https://mobikwik.com,$95M (68%)
BharatPe,FinTech,Delhi,https://bharatpe.com,$130M (72%)
ETMoney,FinTech,Gurgaon,https://etmoney.com,$65M (60%)
Practo,Healthcare,Bangalore,https://practo.com,$90M (78%)
1mg,Healthcare,Gurgaon,https://1mg.com,$140M (82%)
Pharmeasy,Healthcare,Mumbai,https://pharmeasy.in,$310M (85%)
Cure.fit,Healthcare,Bangalore,https://cult.fit,$200M (76%)
MedGenome,Healthcare,Bangalore,https://medgenome.com,$75M (69%)
HealthifyMe,Healthcare,Bangalore,https://healthifyme.com,$45M (63%)
CallHealth,Healthcare,Hyderabad,https://callhealth.com,$60M (65%)
mfine,Healthcare,Bangalore,https://mfine.co,$80M (70%)
DocsApp,Healthcare,Bangalore,https://docsapp.in,$55M (64%)
Lybrate,Healthcare,Delhi,https://lybrate.com,$50M (62%)
Flipkart,E-Commerce,Bangalore,https://flipkart.com,$6B (95%)
Myntra,E-Commerce,Bangalore,https://myntra.com,$1.5B (90%)
Snapdeal,E-Commerce,Delhi,https://snapdeal.com,$350M (72%)
BigBasket,E-Commerce,Bangalore,https://bigbasket.com,$800M (88%)
Nykaa,E-Commerce,Mumbai,https://nykaa.com,$1.2B (92%)
Ajio,E-Commerce,Bangalore,https://ajio.com,$950M (90%)
Lenskart,E-Commerce,Delhi,https://lenskart.com,$650M (85%)
Meesho,E-Commerce,Bangalore,https://meesho.com,$550M (83%)
ShopClues,E-Commerce,Gurgaon,https://shopclues.com,$120M (70%)
FirstCry,E-Commerce,Pune,https://firstcry.com,$600M (84%)
Byju's,EdTech,Bangalore,https://byjus.com,$5.5B (95%)
Unacademy,EdTech,Bangalore,https://unacademy.com,$800M (88%)
Vedantu,EdTech,Bangalore,https://vedantu.com,$250M (80%)
Toppr,EdTech,Mumbai,https://toppr.com,$150M (75%)
Simplilearn,EdTech,Bangalore,https://simplilearn.com,$200M (78%)
UpGrad,EdTech,Mumbai,https://upgrad.com,$500M (85%)
Adda247,EdTech,Gurgaon,https://adda247.com,$80M (70%)
WhiteHat Jr,EdTech,Mumbai,https://whitehatjr.com,$220M (77%)
Doubtnut,EdTech,Gurgaon,https://doubtnut.com,$65M (65%)
Testbook,EdTech,Mumbai,https://testbook.com,$95M (68%)
